date,market_return
1980-10-01,0.01393925
1980-10-02,0.007146383
1980-10-03,0.01012771
1980-10-06,0.01818939
1980-10-07,-0.005467002
1980-10-08,0.005027851000000001
1980-10-09,-0.004717112
1980-10-10,-0.005545841
1980-10-13,0.01326249
1980-10-14,-0.0002649257
1980-10-15,0.01350109
1980-10-16,-0.01233368
1980-10-17,-0.004764999000000001
1980-10-20,0.008374555
1980-10-21,-0.006239413
1980-10-22,0.0005811299
1980-10-23,-0.01817544
1980-10-24,0.002809029
1980-10-27,-0.01507587
1980-10-28,0.001418714
1980-10-29,-0.0009320742
1980-10-30,-0.01328883
1980-10-31,0.01121353
1980-11-03,0.01363576
1980-11-05,0.01940618
1980-11-06,-0.01851791
1980-11-07,0.00320746
1980-11-10,0.002717971
1980-11-11,0.01338983
1980-11-12,0.02565497
1980-11-13,0.0140678
1980-11-14,0.004926173000000001
1980-11-17,0.004973737000000001
1980-11-18,0.01450203
1980-11-19,-0.005184294000000001
1980-11-20,0.01052635
1980-11-21,-0.008498223000000001
1980-11-24,-0.004496344
1980-11-25,0.007516565
1980-11-26,0.005628933
1980-11-28,0.002451428
1980-12-01,-0.02345414
1980-12-02,-0.0006576283
1980-12-03,-0.002169667
1980-12-04,-0.001411597
1980-12-05,-0.01947623
1980-12-08,-0.02349438
1980-12-09,-0.001109801
1980-12-10,-0.01658778
1980-12-11,-0.007018561
1980-12-12,0.01512539
1980-12-15,0.001120833
1980-12-16,0.009838000000000001
1980-12-17,0.01725982
1980-12-18,0.0004835753
1980-12-19,0.005794049000000001
1980-12-22,0.01514474
1980-12-23,-0.003414941
1980-12-24,0.00450369
1980-12-26,0.005315678000000001
1980-12-29,-0.01109019
1980-12-30,0.002499619
1980-12-31,0.003145972
1981-01-02,0.004644795
1981-01-05,0.01163064
1981-01-06,0.001731928
1981-01-07,-0.02229873
1981-01-08,-0.01467293
1981-01-09,0.003566956
1981-01-12,-0.0001001557
1981-01-13,-0.001519346
1981-01-14,0.001324291
1981-01-15,0.005244243
1981-01-16,0.004647660000000001
1981-01-19,-0.002951455
1981-01-20,-0.02061359
1981-01-21,-0.002231289
1981-01-22,-0.008085390000000001
1981-01-23,0.0001473688
1981-01-26,-0.003469821
1981-01-27,0.01121331
1981-01-28,-0.005969765
1981-01-29,-0.0008799248000000001
1981-01-30,-0.004918012
1981-02-02,-0.0193995
1981-02-03,0.01363844
1981-02-04,0.001048605
1981-02-05,0.008966559
1981-02-06,0.008564011
1981-02-09,-0.009795709000000001
1981-02-10,-0.0004739801
1981-02-11,-0.007421161000000001
1981-02-12,-0.006126636
1981-02-13,-0.002470244
1981-02-17,0.006434769000000001
1981-02-18,0.005352456
1981-02-19,-0.01447619
1981-02-20,-0.0003202682
1981-02-23,0.006873599
1981-02-24,0.001403172
1981-02-25,0.009316257000000001
1981-02-26,0.01185931
1981-02-27,0.008988969000000001
1981-03-02,0.006444054
1981-03-03,-0.01052155
1981-03-04,0.002485255
1981-03-05,-0.006679165000000001
1981-03-06,-0.0007941910000000001
1981-03-09,0.009918957
1981-03-10,-0.004379853
1981-03-11,-0.003624672
1981-03-12,0.02546653
1981-03-13,-0.00198879
1981-03-16,0.01191209
1981-03-17,-0.005383988
1981-03-18,0.002130536
1981-03-19,-0.006357763000000001
1981-03-20,0.005342449
1981-03-23,0.01220879
1981-03-24,-0.007728975000000001
1981-03-25,0.01826596
1981-03-26,-0.006034634000000001
1981-03-27,-0.01147929
1981-03-30,-0.002239983
1981-03-31,0.01186522
1981-04-01,0.00456276
1981-04-02,-0.001609366
1981-04-03,-0.005600011
1981-04-06,-0.01176744
1981-04-07,-0.0005045545
1981-04-08,0.003129304
1981-04-09,0.003349847
1981-04-10,-0.001223467
1981-04-13,-0.009937946000000001
1981-04-14,-0.003470455
1981-04-15,0.01086906
1981-04-16,0.003728338
1981-04-20,0.006226746
1981-04-21,-0.009179315
1981-04-22,-0.0005790112
1981-04-23,-0.001299189
1981-04-24,0.008844309
1981-04-27,0.003526549
1981-04-28,-0.008521643
1981-04-29,-0.00965357
1981-04-30,-0.001088102
1981-05-01,-0.00155107
1981-05-04,-0.01370181
1981-05-05,-0.002606885
1981-05-06,0.004020615
1981-05-07,0.007843043000000001
1981-05-08,5.360568e-05
1981-05-11,-0.01466071
1981-05-12,0.008949161
1981-05-13,-0.00181634
1981-05-14,0.005667623
1981-05-15,0.007335297
1981-05-18,0.002779726
1981-05-19,-0.002811281
1981-05-20,-0.0002816331
1981-05-21,-0.001723825
1981-05-22,-0.001445155
1981-05-26,0.01158713
1981-05-27,0.007021731000000001
1981-05-28,-0.002205155
1981-05-29,-0.005323472
1981-06-01,-0.001037001
1981-06-02,-0.01343256
1981-06-03,0.0008217055
1981-06-04,0.002173132
1981-06-05,0.01065471
1981-06-08,1.656214e-05
1981-06-09,-0.002045048
1981-06-10,0.002859462
1981-06-11,0.01108729
1981-06-12,-0.001140571
1981-06-15,0.0004688882
1981-06-16,-0.01113409
1981-06-17,0.009284745
1981-06-18,-0.01293361
1981-06-19,0.004639773000000001
1981-06-22,-0.002557138
1981-06-23,0.01072981
1981-06-24,-0.005078076
1981-06-25,0.00162394
1981-06-26,-0.002796167
1981-06-29,-0.005667322000000001
1981-06-30,-0.005199943
1981-07-01,-0.01033063
1981-07-02,-0.008937304
1981-07-06,-0.009245479000000001
1981-07-07,0.006381042
1981-07-08,0.0007387343
1981-07-09,0.007305071000000001
1981-07-10,0.0002193142
1981-07-13,0.002275191
1981-07-14,0.0006644408
1981-07-15,0.003670732
1981-07-16,0.001274948
1981-07-17,0.003512207
1981-07-20,-0.01540958
1981-07-21,-0.003414381
1981-07-22,-0.009238319
1981-07-23,0.002398757
1981-07-24,0.00922705
1981-07-27,0.01044031
1981-07-28,-0.005470432000000001
1981-07-29,0.0006162508
1981-07-30,0.006288091
1981-07-31,0.007728314000000001
1981-08-03,-0.002408743
1981-08-04,0.006041906000000001
1981-08-05,0.01134519
1981-08-06,0.0002653742
1981-08-07,-0.005294809
1981-08-10,0.00616879
1981-08-11,0.01038446
1981-08-12,-0.003792413
1981-08-13,0.0006379425
1981-08-14,-0.007389998
1981-08-17,-0.009541502
1981-08-18,-0.008988086000000001
1981-08-19,0.003584077
1981-08-20,0.001758623
1981-08-21,-0.01070753
1981-08-24,-0.02892558
1981-08-25,-0.001507452
1981-08-26,-0.0009491020000000001
1981-08-27,-0.01136797
1981-08-28,0.004668953
1981-08-31,-0.01046021
1981-09-01,0.003022738
1981-09-02,0.003451737
1981-09-03,-0.01825474
1981-09-04,-0.009556873
1981-09-08,-0.01661848
1981-09-09,0.003037378
1981-09-10,0.01557328
1981-09-11,0.01245643
